"","PlusMinus","Turnovers"
"5172",5,1
"7172",4,0
"8172",6,3
"9172",5,1
"10160",1,1
"1100",-3,0
"283",6,0
"383",6,0
"483",2,3
"583",-5,2
"783",10,2
"883",1,2
"983",13,1
"1179",-6,2
"2173",9,1
"3173",8,2
"4173",4,0
"5173",-4,1
"7173",-14,0
"8173",-15,1
"9173",-12,3
"1101",1,2
"284",17,1
"384",13,4
"484",13,2
"584",2,0
"784",0,0
"884",-2,1
"984",-7,0
"1080",3,0
"1180",-11,1
"2174",-1,0
"3174",-13,4
"4174",-9,0
"5174",-7,1
"7174",-4,1
"8174",1,2
"9174",4,0
"1102",7,0
"285",9,3
"385",4,0
"485",7,4
"585",6,2
"785",3,2
"885",-1,1
"985",-1,1
"1081",1,2
"1181",-19,2
"2175",-6,4
"3175",-1,1
"4175",5,0
"5175",-10,1
"7175",10,0
"8175",-1,0
"9175",-11,2
"10161",-2,0
"1103",-11,0
"286",-10,3
"386",-16,0
"486",-12,4
"586",-10,3
"786",-8,0
"886",1,0
"986",3,0
"1082",-5,0
"1182",-15,3
"1259",-7,2
"1329",26,0
"2176",11,2
"3176",26,1
"4176",4,2
"5176",4,6
"7176",-4,0
"8176",7,0
"9176",10,2
"10162",6,1
"1104",2,1
"287",1,0
"387",2,5
"487",1,0
"587",2,0
"787",11,3
"887",5,0
"987",11,1
"1183",-6,2
"2177",-1,2
"3177",2,0
"4177",5,4
"5177",-16,4
"7177",-7,2
"8177",-5,2
"9177",-7,1
"1105",-6,2
"288",-1,3
"388",-5,0
"488",-9,3
"588",-6,4
"788",1,2
"888",6,1
"988",5,0
"1184",9,1
"2178",9,2
"3178",7,1
"4178",5,0
"5178",11,1
"7178",-4,1
"8178",-7,1
"9178",-6,0
"1083",-9,1
"1106",-14,0
"289",-24,0
"389",-28,2
"489",-16,4
"589",-23,1
"789",1,0
"889",-13,4
"989",-6,1
"1084",2,2
"1185",-4,0
"1260",20,0
"2179",17,2
"3179",28,2
"4179",14,1
"5179",14,3
"7179",5,2
"8179",8,1
"9179",10,2
"10163",9,1
"1107",-20,2
"290",-8,2
"390",-3,3
"490",-3,1
"590",-9,5
"790",4,0
"890",8,2
"990",0,1
"1085",-9,1
"1261",3,1
"2180",7,2
"3180",13,3
"4180",7,2
"5180",1,2
"7180",-5,0
"8180",15,1
"9180",3,1
"10164",1,1
"1186",-5,1
"1108",-10,2
"291",-14,2
"391",-5,4
"491",-10,2
"591",-10,2
"791",-1,1
"891",0,0
"991",-4,0
"1086",-4,0
"1187",-2,1
"1262",10,1
"2181",15,2
"3181",7,0
"4181",5,6
"5181",9,2
"7181",-1,0
"8181",9,2
"9181",6,3
"1109",-25,1
"292",-17,2
"392",-27,4
"492",-16,2
"592",-16,1
"792",-7,2
"892",11,1
"992",6,0
"1087",-1,2
"1188",0,0
"1263",12,0
"1412",36,3
"2182",39,1
"3182",14,0
"4182",33,2
"5182",13,1
"7182",-16,1
"8182",8,0
"9182",-11,0
"10165",-18,0
"11130",-9,3
"12111",-5,1
"1330",-4,0
"1189",18,1
"293",3,2
"393",11,1
"493",4,2
"593",21,1
"793",-5,1
"893",-2,1
"993",4,0
"1088",-4,1
"1190",-1,1
"2183",2,0
"3183",0,0
"4183",-8,0
"5183",-17,2
"7183",-7,1
"8183",-11,0
"9183",-7,3
"10166",-1,0
"1191",-15,1
"294",-13,0
"394",-14,3
"494",2,5
"594",-12,1
"794",2,0
"894",12,1
"994",10,0
"1089",-12,0
"1331",13,1
"2184",17,1
"3184",23,4
"4184",21,4
"5184",15,1
"7184",-13,0
"8184",-16,3
"9184",4,0
"10167",-5,0
"1192",-2,0
"1264",-17,4
"1193",1,0
"295",11,1
"395",-3,1
"495",-3,2
"595",-1,4
"795",-13,1
"895",-3,0
"995",-10,1
"1090",-3,0
"1194",-5,4
"1265",-1,0
"1332",5,1
"2185",6,4
"3185",10,2
"4185",10,5
"5185",11,1
"7185",0,1
"8185",-6,0
"9185",2,0
"10168",-5,1
"11131",1,1
"12112",-4,0
"1195",-4,6
"296",-3,0
"396",-21,2
"496",-17,2
"596",1,0
"796",-8,1
"896",-3,2
"996",3,1
"1091",8,1
"1196",-1,1
"1333",17,1
"2186",21,0
"3186",24,2
"4186",26,2
"5186",19,0
"7186",-15,1
"8186",-16,1
"9186",1,0
"10169",-6,1
"11132",-12,0
"1266",-14,0
"1197",9,0
"297",17,2
"397",3,2
"497",8,3
"597",16,2
"797",-10,2
"897",-14,2
"997",-4,0
"1092",-1,0
"1198",-9,1
"1267",-7,0
"2187",-5,5
"3187",-12,2
"4187",-5,3
"5187",-16,1
"7187",13,3
"8187",6,0
"9187",2,0
"10170",9,1
"1199",-4,5
"298",-3,4
"398",1,1
"498",0,4
"598",5,2
"798",-2,4
"898",-4,0
"998",-9,2
"1093",1,2
"11100",4,2
"2188",-1,3
"3188",-5,2
"4188",-3,7
"5188",6,2
"7188",2,2
"8188",4,2
"9188",0,3
"10171",8,0
"1200",-11,2
"299",13,3
"399",4,2
"499",-5,3
"599",-4,0
"799",-8,1
"899",-14,2
"999",-13,0
"1094",-12,0
"11101",23,3
"2189",-5,2
"3189",19,3
"4189",20,2
"5189",1,2
"7189",-3,4
"8189",4,0
"9189",5,0
"10172",-14,2
"1201",10,2
"2100",0,3
"3100",13,2
"4100",2,1
"5100",0,0
"7100",12,1
"8100",18,1
"9100",2,1
"1095",0,0
"11102",14,0
