"","Player","Season","Age","Tm","WS","G","GS","MP","FG","FGPM","FGA","FGAPM","X2P","X2PPM","X2PA","X2PAPM","X3P","X3PPM","X3PA","X3PAPM","FT","FTPM","FTA","FTAPM","ORB","ORBPM","TRB","TRBPM","DRB","DRBPM","AST","ASPM","STL","SPM","BLK","BPM","TOV","TPM","PF","PFPM","PTS","PPM","POS","POPM","FG.","FT.","X2P.","X3P.","eFG.","APM","RAPM","Salary"
"26","Bria Hartley",2019,26,"NYL",0.3,24,18,545,79,5.21834862385321,210,13.8715596330275,55,3.63302752293578,137,9.04954128440367,24,1.58532110091743,73,4.82201834862385,53,3.50091743119266,66,4.35963302752294,18,1.18899082568807,77,5.08623853211009,59,3.89724770642202,76,5.02018348623853,18,1.18899082568807,1,0.0660550458715596,50,3.30275229357798,55,3.63302752293578,235,15.5229357798165,3810,251.669724770642,0.376,0.803,0.401,0.329,0.433,-3.35713456367875,-0.631490833603772,102000
"27","Bria Holmes",2019,25,"CON",0.8,34,0,529,77,5.24007561436673,193,13.1342155009452,57,3.87901701323251,130,8.8468809073724,20,1.36105860113422,63,4.28733459357278,39,2.65406427221172,58,3.94706994328923,10,0.680529300567108,49,3.33459357277883,39,2.65406427221172,31,2.10964083175803,16,1.08884688090737,7,0.476370510396975,30,2.04158790170132,36,2.44990548204159,213,14.4952741020794,314,21.3686200378072,0.399,0.672,0.438,0.317,0.451,-3.46831814987112,-0.791037318230075,53290
"28","Briann January",2019,32,"PHO",0.5,32,26,852,71,3,182,7.69014084507042,40,1.69014084507042,100,4.22535211267606,31,1.30985915492958,82,3.46478873239437,36,1.52112676056338,43,1.8169014084507,6,0.253521126760563,42,1.77464788732394,36,1.52112676056338,103,4.35211267605634,26,1.09859154929577,3,0.126760563380282,54,2.28169014084507,67,2.83098591549296,209,8.83098591549296,35,1.47887323943662,0.39,0.837,0.4,0.378,0.475,6.61067769138796,1.66514154912653,117500
"29","Brianna Turner",2019,22,"PHO",1.4,29,12,462,49,3.81818181818182,91,7.09090909090909,49,3.81818181818182,91,7.09090909090909,0,0,0,0,19,1.48051948051948,26,2.02597402597403,45,3.50649350649351,120,9.35064935064935,75,5.84415584415584,15,1.16883116883117,7,0.545454545454545,21,1.63636363636364,19,1.48051948051948,50,3.8961038961039,117,9.11688311688312,4361,339.818181818182,0.538,0.731,0.538,NA,0.538,-2.09087528185,-0.406203548030563,44207
"30","Bridget Carleton",2019,22,"TOT",-0.1,8,0,40,1,0.9,8,7.2,0,0,4,3.6,1,0.9,4,3.6,0,0,0,0,1,0.9,4,3.6,3,2.7,1,0.9,0,0,0,0,1,0.9,2,1.8,3,2.7,284,255.6,0.125,NA,0,0.25,0.188,4.07479994499954,0.332818506777606,41695
"31","Brionna Jones",2019,23,"CON",0.7,27,0,227,35,5.55066079295154,75,11.8942731277533,35,5.55066079295154,74,11.7356828193833,0,0,1,0.158590308370044,24,3.80616740088106,36,5.70925110132159,37,5.86784140969163,59,9.3568281938326,22,3.48898678414097,9,1.4273127753304,9,1.4273127753304,7,1.11013215859031,19,3.01321585903084,36,5.70925110132159,94,14.9074889867841,58,9.19823788546255,0.467,0.667,0.473,0,0.467,11.000571828765,1.21934902783932,53563
"32","Brittany Boyd",2019,26,"NYL",0,33,17,649,71,3.93836671802773,180,9.98459167950693,64,3.55007704160247,157,8.70878274268105,7,0.38828967642527,23,1.27580893682589,26,1.442218798151,34,1.88597842835131,27,1.49768875192604,121,6.71186440677966,94,5.21417565485362,151,8.37596302003082,47,2.60708782742681,4,0.221879815100154,81,4.49306625577812,68,3.77195685670262,175,9.70724191063174,239,13.2573189522342,0.394,0.765,0.408,0.304,0.414,-6.3754534548463,-1.44728790980905,80000
"33","Brittney Griner",2019,28,"PHO",5,31,31,1018,270,9.54813359528487,479,16.9390962671906,269,9.51277013752456,476,16.8330058939096,1,0.0353634577603143,3,0.106090373280943,101,3.57170923379175,125,4.42043222003929,51,1.80353634577603,222,7.85068762278978,171,6.04715127701375,75,2.65225933202358,22,0.777996070726916,62,2.19253438113949,76,2.68762278978389,85,3.00589390962672,642,22.7033398821218,2433,86.0392927308448,0.564,0.808,0.565,0.333,0.565,1.49824949161376,0.395754937211358,115000
"34","Brittney Sykes",2019,25,"ATL",0,34,27,880,128,5.23636363636364,351,14.3590909090909,100,4.09090909090909,243,9.94090909090909,28,1.14545454545455,108,4.41818181818182,64,2.61818181818182,91,3.72272727272727,25,1.02272727272727,151,6.17727272727273,126,5.15454545454545,85,3.47727272727273,20,0.818181818181818,16,0.654545454545455,68,2.78181818181818,59,2.41363636363636,348,14.2363636363636,2453,100.35,0.365,0.703,0.412,0.259,0.405,0.107811920425578,0.383174344111863,53563
"35","Brooke McCarty-Williams",2019,23,"DAL",0,34,3,447,26,2.09395973154362,90,7.24832214765101,8,0.644295302013423,40,3.22147651006711,18,1.4496644295302,50,4.02684563758389,11,0.885906040268456,12,0.966442953020134,10,0.805369127516779,45,3.6241610738255,35,2.81879194630872,64,5.15436241610738,16,1.28859060402685,1,0.0805369127516778,29,2.33557046979866,42,3.38255033557047,81,6.52348993288591,2629,211.731543624161,0.289,0.917,0.2,0.36,0.389,-7.39090457051749,-1.31750424154329,41965
