"","Player","Season","Age","Tm","WS","G","GS","MP","MPG","FG","FGPG","FGA","FGAPG","X2P","X2PPG","X2PA","X2PAPG","X3P","X3PPG","X3PA","X3PAPG","FT","FTPG","FTA","FTAPG","DRB","DRBPG","ORB","ORBPG","TRB","TRBPG","AST","APG","STL","SPG","BLK","BPG","TOV","TPG","PF","PFPG","PTS","PPG","POS","POPG","FG.","FT.","X2P.","X3P.","eFG.","APM","RAPM","Salary"
"98","Layshia Clarendon",2019,28,"CON",0.6,9,0,138,15.3333333333333,18,2,43,4.77777777777778,16,1.77777777777778,41,4.55555555555556,2,0.222222222222222,2,0.222222222222222,18,2,21,2.33333333333333,15,1.66666666666667,7,0.777777777777778,22,2.44444444444444,19,2.11111111111111,3,0.333333333333333,0,0,8,0.888888888888889,7,0.777777777777778,56,6.22222222222222,1523,169.222222222222,0.419,0.857,0.39,1,0.442,-0.198814268235134,0.159392534249935,93400
"99","Leilani Mitchell",2019,34,"PHO",3.5,32,27,971,30.34375,134,4.1875,304,9.5,60,1.875,132,4.125,74,2.3125,172,5.375,68,2.125,82,2.5625,80,2.5,16,0.5,96,3,128,4,30,0.9375,10,0.3125,58,1.8125,78,2.4375,410,12.8125,83,2.59375,0.441,0.829,0.455,0.43,0.563,-1.22052109446388,-0.512020845679421,96757
"100","Lexie Brown",2019,24,"MIN",1.6,33,0,605,18.3333333333333,84,2.54545454545455,209,6.33333333333333,32,0.96969696969697,74,2.24242424242424,52,1.57575757575758,135,4.09090909090909,30,0.909090909090909,38,1.15151515151515,38,1.15151515151515,7,0.212121212121212,45,1.36363636363636,47,1.42424242424242,31,0.939393939393939,1,0.0303030303030303,41,1.24242424242424,42,1.27272727272727,250,7.57575757575758,4912,148.848484848485,0.402,0.789,0.432,0.385,0.526,3.00815595550764,0.427292836128772,44273
"101","Liz Cambage",2019,27,"LVA",4.1,32,30,807,25.21875,196,6.125,389,12.15625,194,6.0625,377,11.78125,2,0.0625,12,0.375,116,3.625,155,4.84375,198,6.1875,63,1.96875,261,8.15625,68,2.125,19,0.59375,51,1.59375,72,2.25,88,2.75,510,15.9375,4133,129.15625,0.504,0.748,0.515,0.167,0.506,4.87707330178621,1.51295473139395,115000
"102","Maite Cazorla",2019,22,"ATL",-0.2,31,1,477,15.3870967741935,29,0.935483870967742,93,3,16,0.516129032258065,38,1.2258064516129,13,0.419354838709677,55,1.7741935483871,21,0.67741935483871,24,0.774193548387097,19,0.612903225806452,2,0.0645161290322581,21,0.67741935483871,49,1.58064516129032,18,0.580645161290323,1,0.032258064516129,29,0.935483870967742,22,0.709677419354839,92,2.96774193548387,2325,75,0.312,0.875,0.421,0.236,0.382,-1.86847523486886,0.00404255342304688,42570
"103","Maria Vadeeva",2019,20,"LAS",0.7,15,1,180,12,51,3.4,104,6.93333333333333,46,3.06666666666667,88,5.86666666666667,5,0.333333333333333,16,1.06666666666667,10,0.666666666666667,13,0.866666666666667,40,2.66666666666667,18,1.2,58,3.86666666666667,10,0.666666666666667,15,1,3,0.2,18,1.2,23,1.53333333333333,117,7.8,3553,236.866666666667,0.49,0.769,0.523,0.313,0.514,4.85365270959226,0.512901198888208,44273
"104","Marie Gulich",2019,25,"ATL",-0.1,31,1,349,11.258064516129,39,1.25806451612903,108,3.48387096774194,31,1,83,2.67741935483871,8,0.258064516129032,25,0.806451612903226,16,0.516129032258065,22,0.709677419354839,50,1.61290322580645,35,1.12903225806452,85,2.74193548387097,19,0.612903225806452,5,0.161290322580645,24,0.774193548387097,32,1.03225806451613,62,2,102,3.29032258064516,769,24.8064516129032,0.361,0.727,0.373,0.32,0.398,0.823915142301643,-0.109232430389917,44273
"105","Marina Mabrey",2019,22,"LAS",0.3,31,0,355,11.4516129032258,45,1.45161290322581,131,4.2258064516129,24,0.774193548387097,54,1.74193548387097,21,0.67741935483871,77,2.48387096774194,14,0.451612903225806,16,0.516129032258065,32,1.03225806451613,6,0.193548387096774,38,1.2258064516129,30,0.967741935483871,19,0.612903225806452,7,0.225806451612903,24,0.774193548387097,23,0.741935483870968,125,4.03225806451613,3812,122.967741935484,0.344,0.875,0.444,0.273,0.424,-7.78773509796846,-1.31583362096702,42570
"106","Marine Johannes",2019,24,"NYL",0.7,19,0,345,18.1578947368421,48,2.52631578947368,110,5.78947368421053,23,1.21052631578947,44,2.31578947368421,25,1.31578947368421,66,3.47368421052632,15,0.789473684210526,19,1,25,1.31578947368421,9,0.473684210526316,34,1.78947368421053,46,2.42105263157895,8,0.421052631578947,3,0.157894736842105,22,1.15789473684211,30,1.57894736842105,136,7.15789473684211,661,34.7894736842105,0.436,0.789,0.523,0.379,0.55,-3.91331486597886,-0.675576264515506,41965
"107","Megan Gustafson",2019,22,"DAL",0.7,25,0,238,9.52,27,1.08,55,2.2,26,1.04,46,1.84,1,0.04,9,0.36,18,0.72,20,0.8,43,1.72,20,0.8,63,2.52,7,0.28,4,0.16,6,0.24,10,0.4,26,1.04,73,2.92,2824,112.96,0.491,0.9,0.565,0.111,0.5,8.41581532370841,1.12892035953817,34194
"108","Mercedes Russell",2019,23,"SEA",3.1,34,30,870,25.5882352941176,106,3.11764705882353,204,6,106,3.11764705882353,204,6,0,0,0,0,42,1.23529411764706,65,1.91176470588235,126,3.70588235294118,81,2.38235294117647,207,6.08823529411765,35,1.02941176470588,37,1.08823529411765,17,0.5,33,0.970588235294118,85,2.5,254,7.47058823529412,527,15.5,0.52,0.646,0.52,NA,0.52,-8.23327989592868,-1.35794468106854,41965
"109","Monique Billings",2019,23,"ATL",0.7,29,2,553,19.0689655172414,56,1.93103448275862,144,4.96551724137931,55,1.89655172413793,143,4.93103448275862,1,0.0344827586206897,1,0.0344827586206897,47,1.62068965517241,60,2.06896551724138,140,4.82758620689655,61,2.10344827586207,201,6.93103448275862,16,0.551724137931034,17,0.586206896551724,12,0.413793103448276,46,1.58620689655172,66,2.27586206896552,160,5.51724137931035,2975,102.586206896552,0.389,0.783,0.385,1,0.392,10.251479053582,1.54928117639474,42632
"110","Morgan Tuck",2019,25,"CON",0.3,33,0,352,10.6666666666667,45,1.36363636363636,116,3.51515151515152,30,0.909090909090909,74,2.24242424242424,15,0.454545454545455,42,1.27272727272727,18,0.545454545454545,30,0.909090909090909,48,1.45454545454545,18,0.545454545454545,66,2,28,0.848484848484849,13,0.393939393939394,3,0.0909090909090909,30,0.909090909090909,44,1.33333333333333,123,3.72727272727273,1328,40.2424242424242,0.388,0.6,0.405,0.357,0.453,-0.969035912126564,-0.0253507472328163,64538
"111","Myisha Hines-Allen",2019,23,"WAS",0.3,27,0,211,7.81481481481481,25,0.925925925925926,69,2.55555555555556,19,0.703703703703704,53,1.96296296296296,6,0.222222222222222,16,0.592592592592593,7,0.259259259259259,12,0.444444444444444,33,1.22222222222222,25,0.925925925925926,58,2.14814814814815,24,0.888888888888889,9,0.333333333333333,11,0.407407407407407,21,0.777777777777778,32,1.18518518518519,63,2.33333333333333,2366,87.6296296296296,0.362,0.583,0.358,0.375,0.406,4.0791783175686,0.283856773268037,42632
"112","Napheesa Collier",2019,22,"MIN",5.2,34,34,1131,33.2647058823529,167,4.91176470588235,341,10.0294117647059,137,4.02941176470588,258,7.58823529411765,30,0.882352941176471,83,2.44117647058824,80,2.35294117647059,101,2.97058823529412,163,4.79411764705882,60,1.76470588235294,223,6.55882352941176,87,2.55882352941176,65,1.91176470588235,32,0.941176470588235,65,1.91176470588235,99,2.91176470588235,444,13.0588235294118,497,14.6176470588235,0.49,0.792,0.531,0.361,0.534,-5.76646154079537,-1.27513524902092,49539
"113","Natalie Achonwa",2019,26,"IND",2.7,30,18,636,21.2,99,3.3,203,6.76666666666667,96,3.2,191,6.36666666666667,3,0.1,12,0.4,60,2,66,2.2,108,3.6,48,1.6,156,5.2,48,1.6,18,0.6,20,0.666666666666667,29,0.966666666666667,77,2.56666666666667,261,8.7,3313,110.433333333333,0.488,0.909,0.503,0.25,0.495,0.459278365880154,1.39914575714326,105000
"114","Natasha Cloud",2019,27,"WAS",2.5,34,34,1093,32.1470588235294,110,3.23529411764706,279,8.20588235294118,65,1.91176470588235,141,4.14705882352941,45,1.32352941176471,138,4.05882352941176,41,1.20588235294118,60,1.76470588235294,79,2.32352941176471,6,0.176470588235294,85,2.5,189,5.55882352941176,35,1.02941176470588,7,0.205882352941176,65,1.91176470588235,69,2.02941176470588,306,9,1647,48.4411764705882,0.394,0.683,0.461,0.326,0.475,-12.4061798303891,-2.97335888054521,115000
"115","Natasha Hiedeman",2019,22,"CON",0.8,20,0,205,10.25,24,1.2,58,2.9,11,0.55,30,1.5,13,0.65,28,1.4,12,0.6,24,1.2,23,1.15,7,0.35,30,1.5,38,1.9,8,0.4,2,0.1,13,0.65,25,1.25,73,3.65,5,0.25,0.414,0.5,0.367,0.464,0.526,-5.31111059155306,-0.67062564606389,27598
