Rk,Player,brefid, Season,Age,Tm,Lg,WS,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,FT%,2P%,3P%,eFG%
61,Glory Johnson,johnsgl01w,2019,28,DAL,WNBA,1.2,28,19,676,78,214,43,111,35,103,14,24,27,144,39,39,18,28,45,205,0.364,0.583,0.387,0.34,0.446
62,Kelsey Plum,plumke01w,2019,24,LVA,WNBA,1.2,34,30,868,107,293,62,168,45,125,34,39,15,97,102,27,4,53,76,293,0.365,0.872,0.369,0.36,0.442
63,Sami Whitcomb,whitcsa01w,2019,30,SEA,WNBA,1.2,33,13,674,82,224,19,40,63,184,11,11,17,57,78,36,4,52,49,238,0.366,1,0.475,0.342,0.507
64,Kelsey Mitchell,mitchke01w,2019,23,IND,WNBA,1.1,34,20,852,167,432,88,221,79,211,51,61,4,56,90,15,4,57,57,464,0.387,0.836,0.398,0.374,0.478
65,Stephanie Talbot,talbost01w,2019,25,MIN,WNBA,1.1,33,10,561,57,154,26,59,31,95,27,31,18,79,41,30,9,42,37,172,0.37,0.871,0.441,0.326,0.471
66,Tiffany Hayes,hayesti01w,2019,29,ATL,WNBA,1,29,29,817,147,374,111,257,36,117,97,127,21,87,82,29,8,70,71,427,0.393,0.764,0.432,0.308,0.441
67,Renee Montgomery,montgre01w,2019,32,ATL,WNBA,0.9,34,34,949,107,289,39,79,68,210,42,51,9,74,90,31,6,64,51,324,0.37,0.824,0.494,0.324,0.488
68,Natasha Hiedeman,hiedena01w,2019,22,CON,WNBA,0.8,20,0,205,24,58,11,30,13,28,12,24,7,30,38,8,2,13,25,73,0.414,0.5,0.367,0.464,0.526
69,Bria Holmes,holmebr01w,2019,25,CON,WNBA,0.8,34,0,529,77,193,57,130,20,63,39,58,10,49,31,16,7,30,36,213,0.399,0.672,0.438,0.317,0.451
70,Tiffany Mitchell,mitchti01w,2019,24,IND,WNBA,0.8,33,14,831,109,286,89,217,20,69,83,93,22,95,71,19,3,55,83,321,0.381,0.892,0.41,0.29,0.416
71,Sydney Wiese,wiesesy01w,2019,24,LAS,WNBA,0.8,32,16,659,55,143,21,50,34,93,9,9,5,42,57,15,8,32,27,153,0.385,1,0.42,0.366,0.503
72,Monique Billings,billimo01w,2019,23,ATL,WNBA,0.7,29,2,553,56,144,55,143,1,1,47,60,61,201,16,17,12,46,66,160,0.389,0.783,0.385,1,0.392
73,Alaina Coates,coateal01w,2019,24,TOT,WNBA,0.7,23,0,167,24,45,24,45,0,0,12,21,21,60,2,5,11,9,37,60,0.533,0.571,0.533,,0.533
74,Megan Gustafson,gustame01w,2019,22,DAL,WNBA,0.7,25,0,238,27,55,26,46,1,9,18,20,20,63,7,4,6,10,26,73,0.491,0.9,0.565,0.111,0.5
75,Marine Johannes,johanma01w,2019,24,NYL,WNBA,0.7,19,0,345,48,110,23,44,25,66,15,19,9,34,46,8,3,22,30,136,0.436,0.789,0.523,0.379,0.55
76,Brionna Jones,jonesbr01w,2019,23,CON,WNBA,0.7,27,0,227,35,75,35,74,0,1,24,36,37,59,9,9,7,19,36,94,0.467,0.667,0.473,0,0.467
77,Theresa Plaisance,plaisth01w,2019,27,TOT,WNBA,0.7,31,12,442,54,146,29,73,25,73,21,26,24,113,34,9,19,31,65,154,0.37,0.808,0.397,0.342,0.455
