"","Player","Season","Age","Tm","WS","G","GS","MP","MPG","FG","FGPG","FGA","FGAPG","X2P","X2PPG","X2PA","X2PAPG","X3P","X3PPG","X3PA","X3PAPG","FT","FTPG","FTA","FTAPG","DRB","DRBPG","ORB","ORBPG","TRB","TRBPG","AST","APG","STL","SPG","BLK","BPG","TOV","TPG","PF","PFPG","PTS","PPG","FG.","FT.","X2P.","X3P.","eFG.","APM","RAPM","Salary"
"1","A'ja Wilson",2019,22,"LVA",3.1,26,25,740,28.4615384615385,158,6.07692307692308,330,12.6923076923077,158,6.07692307692308,329,12.6538461538462,0,0,1,0.0384615384615385,114,4.38461538461539,144,5.53846153846154,125,4.80769230769231,43,1.65384615384615,168,6.46153846153846,47,1.80769230769231,13,0.5,45,1.73076923076923,56,2.15384615384615,52,2,430,16.5384615384615,0.479,0.792,0.48,0,0.479,-1.97960237157523,-0.387720352361973,53616
"2","Aerial Powers",2019,25,"WAS",3,30,7,593,19.7666666666667,108,3.6,249,8.3,66,2.2,133,4.43333333333333,42,1.4,116,3.86666666666667,85,2.83333333333333,98,3.26666666666667,63,2.1,34,1.13333333333333,97,3.23333333333333,45,1.5,25,0.833333333333333,6,0.2,44,1.46666666666667,48,1.6,343,11.4333333333333,0.434,0.867,0.496,0.362,0.518,6.086985933405,1.53581900368817,59718
"3","Alaina Coates",2019,24,"TOT",0.7,23,0,167,7.26086956521739,24,1.04347826086957,45,1.95652173913043,24,1.04347826086957,45,1.95652173913043,0,0,0,0,12,0.521739130434783,21,0.91304347826087,39,1.69565217391304,21,0.91304347826087,60,2.60869565217391,2,0.0869565217391304,5,0.217391304347826,11,0.478260869565217,9,0.391304347826087,37,1.60869565217391,60,2.60869565217391,0.533,0.571,0.533,NA,0.533,0.710377776033458,0.110465745972047,25815
"4","Alana Beard",2019,37,"LAS",0.5,16,3,235,14.6875,22,1.375,49,3.0625,21,1.3125,44,2.75,1,0.0625,5,0.3125,7,0.4375,9,0.5625,22,1.375,2,0.125,24,1.5,23,1.4375,12,0.75,3,0.1875,9,0.5625,21,1.3125,52,3.25,0.449,0.778,0.477,0.2,0.459,-0.264278757015233,0.151678234339105,108000
"5","Alanna Smith",2019,22,"PHO",-0.5,18,0,134,7.44444444444444,8,0.444444444444444,41,2.27777777777778,6,0.333333333333333,23,1.27777777777778,2,0.111111111111111,18,1,1,0.0555555555555556,2,0.111111111111111,24,1.33333333333333,11,0.611111111111111,35,1.94444444444444,4,0.222222222222222,5,0.277777777777778,5,0.277777777777778,8,0.444444444444444,18,1,19,1.05555555555556,0.195,0.5,0.261,0.111,0.22,-1.55529660952839,-0.201019047224103,49539
"6","Alex Bentley",2019,28,"ATL",-1,29,4,634,21.8620689655172,99,3.41379310344828,323,11.1379310344828,67,2.31034482758621,187,6.44827586206897,32,1.10344827586207,136,4.68965517241379,30,1.03448275862069,35,1.20689655172414,44,1.51724137931034,10,0.344827586206897,54,1.86206896551724,86,2.96551724137931,21,0.724137931034483,9,0.310344827586207,44,1.51724137931034,56,1.93103448275862,260,8.96551724137931,0.307,0.857,0.358,0.235,0.356,-2.71036080498972,-0.358119543487503,NA
"7","Alexis Jones",2019,25,"LAS",0.1,20,1,243,12.15,28,1.4,70,3.5,17,0.85,37,1.85,11,0.55,33,1.65,12,0.6,15,0.75,20,1,2,0.1,22,1.1,36,1.8,6,0.3,4,0.2,27,1.35,29,1.45,79,3.95,0.4,0.8,0.459,0.333,0.479,-0.531249804626095,0.0404093554041573,47798
"8","Allie Quigley",2019,33,"CHI",3.7,34,34,972,28.5882352941176,171,5.02941176470588,347,10.2058823529412,91,2.67647058823529,166,4.88235294117647,80,2.35294117647059,181,5.32352941176471,47,1.38235294117647,54,1.58823529411765,88,2.58823529411765,13,0.382352941176471,101,2.97058823529412,85,2.5,27,0.794117647058823,7,0.205882352941176,46,1.35294117647059,61,1.79411764705882,469,13.7941176470588,0.493,0.87,0.548,0.442,0.608,4.52414371910153,1.24661275433402,117500
"9","Allisha Gray",2019,24,"DAL",3.6,34,29,1035,30.4411764705882,117,3.44117647058824,256,7.52941176470588,84,2.47058823529412,170,5,33,0.970588235294118,86,2.52941176470588,95,2.79411764705882,112,3.29411764705882,96,2.82352941176471,45,1.32352941176471,141,4.14705882352941,78,2.29411764705882,42,1.23529411764706,14,0.411764705882353,49,1.44117647058824,87,2.55882352941176,362,10.6470588235294,0.457,0.848,0.494,0.384,0.521,4.66672228812449,1.52502485397446,57886
"10","Alysha Clark",2019,31,"SEA",3.1,31,30,881,28.4193548387097,114,3.67741935483871,237,7.64516129032258,63,2.03225806451613,131,4.2258064516129,51,1.64516129032258,106,3.41935483870968,18,0.580645161290323,22,0.709677419354839,108,3.48387096774194,37,1.19354838709677,145,4.67741935483871,79,2.54838709677419,33,1.06451612903226,17,0.548387096774194,48,1.54838709677419,60,1.93548387096774,297,9.58064516129032,0.481,0.818,0.481,0.481,0.589,7.24564507431883,1.25734248764297,84100
