"","Player","Season","Age","Tm","WS","G","GS","MP","FG","FGPM","FGA","FGAPM","X2P","X2PPM","X2PA","X2PAPM","X3P","X3PPM","X3PA","X3PAPM","FT","FTPM","FTA","FTAPM","ORB","ORBPM","TRB","TRBPM","DRB","DRBPM","AST","ASPM","STL","SPM","BLK","BPM","TOV","TPM","PF","PFPM","PTS","PPM","APM","RAPM","Salary"
"41","Cheyenne Parker",2019,26,"CHI",2.6,34,0,670,107,5.749,233,12.519,102,5.481,215,11.552,5,0.269,18,0.967,80,4.299,95,5.104,62,3.331,197,10.585,135,7.254,30,1.612,25,1.343,42,2.257,45,2.418,81,4.352,299,16.066,-8.236,-1.746,110000
"42","Chiney Ogwumike",2019,27,"LAS",3,32,14,697,125,6.456,253,13.067,124,6.405,249,12.861,1,0.052,4,0.207,55,2.841,68,3.512,81,4.184,184,9.504,103,5.32,25,1.291,33,1.704,23,1.188,42,2.169,110,5.681,306,15.805,2.891,0.545,117500
"43","Chloe Jackson",2019,22,"CHI",-0.2,8,0,32,2,2.25,9,10.125,2,2.25,9,10.125,0,0,0,0,1,1.125,6,6.75,3,3.375,6,6.75,3,3.375,4,4.5,5,5.625,0,0,6,6.75,1,1.125,5,5.625,6.607,0.365,35478
"44","Courtney Paris",2019,31,"SEA",0.3,30,0,190,6,1.137,15,2.842,6,1.137,15,2.842,0,0,0,0,3,0.568,7,1.326,13,2.463,52,9.853,39,7.389,13,2.463,8,1.516,3,0.568,9,1.705,18,3.411,15,2.842,-13.01,-1.421,111000
"45","Courtney Vandersloot",2019,30,"CHI",4.1,33,33,991,135,4.904,299,10.862,104,3.778,192,6.975,31,1.126,107,3.887,68,2.47,80,2.906,20,0.727,143,5.195,123,4.468,300,10.898,45,1.635,15,0.545,96,3.487,50,1.816,369,13.405,9.192,2.095,117500
"46","Courtney Williams",2019,25,"CON",3.5,34,34,988,187,6.814,430,15.668,171,6.231,395,14.393,16,0.583,35,1.275,60,2.186,75,2.733,48,1.749,189,6.887,141,5.138,129,4.7,46,1.676,13,0.474,56,2.04,47,1.713,450,16.397,-0.639,0.016,59718
"47","Crystal Langhorne",2019,32,"SEA",0.6,34,4,577,70,4.367,171,10.669,52,3.244,114,7.113,18,1.123,57,3.556,33,2.059,44,2.745,27,1.685,106,6.614,79,4.929,33,2.059,10,0.624,9,0.562,43,2.683,35,2.184,191,11.917,-0.523,0.452,105000
"48","Damiris Dantas",2019,26,"MIN",2.2,26,26,667,89,4.804,206,11.118,47,2.537,99,5.343,42,2.267,107,5.775,19,1.025,26,1.403,28,1.511,116,6.261,88,4.75,84,4.534,19,1.025,15,0.81,45,2.429,74,3.994,239,12.9,-1.008,-0.08,105000
"49","Danielle Robinson",2019,30,"MIN",2.3,34,25,919,138,5.406,316,12.379,129,5.053,275,10.773,9,0.353,41,1.606,58,2.272,66,2.585,22,0.862,118,4.622,96,3.761,125,4.897,42,1.645,7,0.274,70,2.742,61,2.39,343,13.436,9.654,2.348,108000
"50","Dearica Hamby",2019,25,"LVA",3.6,34,9,842,141,6.029,289,12.356,124,5.302,236,10.09,17,0.727,53,2.266,74,3.164,103,4.404,76,3.249,257,10.988,181,7.739,65,2.779,33,1.411,12,0.513,61,2.608,71,3.036,373,15.948,-3.132,-0.832,115000
"51","DeWanna Bonner",2019,31,"PHO",4,34,34,1120,190,6.107,504,16.2,138,4.436,313,10.061,52,1.671,191,6.139,153,4.918,167,5.368,34,1.093,260,8.357,226,7.264,92,2.957,44,1.414,21,0.675,53,1.704,55,1.768,585,18.804,-3.534,-0.808,127500
"52","Diamond DeShields",2019,24,"CHI",2.4,34,34,1027,192,6.73,481,16.861,142,4.978,323,11.322,50,1.753,158,5.538,117,4.101,140,4.907,29,1.017,187,6.555,158,5.538,82,2.874,43,1.507,14,0.491,74,2.594,92,3.225,551,19.315,-5.501,-1.669,53616
"53","Diana Taurasi",2019,37,"PHO",-0.4,6,6,129,4,1.116,39,10.884,3,0.837,15,4.186,1,0.279,24,6.698,17,4.744,18,5.023,1,0.279,19,5.302,18,5.023,32,8.93,2,0.558,1,0.279,13,3.628,15,4.186,26,7.256,0.408,-0.008,117500
"54","Elena Delle Donne",2019,29,"WAS",7.7,31,31,901,220,8.79,427,17.061,168,6.713,306,12.226,52,2.078,121,4.835,114,4.555,117,4.675,48,1.918,255,10.189,207,8.271,68,2.717,19,0.759,39,1.558,30,1.199,32,1.279,606,24.213,8.373,1.837,117000
"55","Elizabeth Williams",2019,26,"ATL",2.7,32,32,909,107,4.238,235,9.307,107,4.238,235,9.307,0,0,0,0,82,3.248,112,4.436,99,3.921,208,8.238,109,4.317,37,1.465,24,0.95,53,2.099,41,1.624,71,2.812,296,11.723,-1.763,-0.845,115000
"56","Emma Meesseman",2019,26,"WAS",4,23,6,543,122,8.088,221,14.652,103,6.829,176,11.669,19,1.26,45,2.983,38,2.519,42,2.785,27,1.79,97,6.431,70,4.641,73,4.84,20,1.326,15,0.994,22,1.459,41,2.718,301,19.956,7.857,1.831,117500
"57","Epiphanny Prince",2019,31,"LVA",0.2,3,0,28,5,6.429,10,12.857,2,2.571,3,3.857,3,3.857,7,9,0,0,0,0,1,1.286,2,2.571,1,1.286,3,3.857,1,1.286,1,1.286,0,0,5,6.429,13,16.714,-0.261,-0.031,41695
"58","Erica McCall",2019,23,"IND",0,15,0,104,3,1.038,22,7.615,3,1.038,22,7.615,0,0,0,0,8,2.769,8,2.769,11,3.808,27,9.346,16,5.538,6,2.077,1,0.346,6,2.077,3,1.038,13,4.5,14,4.846,1.395,0.663,46028
"59","Erica Wheeler",2019,28,"IND",1.4,34,34,850,127,5.379,298,12.621,79,3.346,173,7.327,48,2.033,125,5.294,41,1.736,47,1.991,5,0.212,102,4.32,97,4.108,171,7.242,40,1.694,5,0.212,97,4.108,74,3.134,343,14.527,4.136,-0.058,80000
"60","Essence Carson",2019,32,"PHO",0.4,23,13,425,45,3.812,128,10.842,31,2.626,87,7.369,14,1.186,41,3.473,29,2.456,37,3.134,11,0.932,51,4.32,40,3.388,35,2.965,12,1.016,8,0.678,17,1.44,23,1.948,133,11.266,-1.139,-0.125,85000
"61","Gabby Williams",2019,22,"CHI",0,33,2,527,75,5.123,181,12.364,68,4.645,140,9.564,7,0.478,41,2.801,29,1.981,40,2.732,14,0.956,72,4.918,58,3.962,68,4.645,23,1.571,7,0.478,55,3.757,41,2.801,186,12.706,4.997,0.865,53616
"62","Glory Johnson",2019,28,"DAL",1.2,28,19,676,78,4.154,214,11.396,43,2.29,111,5.911,35,1.864,103,5.485,14,0.746,24,1.278,27,1.438,144,7.669,117,6.231,39,2.077,39,2.077,18,0.959,28,1.491,45,2.396,205,10.917,-1.149,-0.404,117500
"63","Haley Peters",2019,26,"ATL",-0.2,4,0,26,0,0,7,9.692,0,0,7,9.692,0,0,0,0,2,2.769,2,2.769,1,1.385,2,2.769,1,1.385,1,1.385,1,1.385,1,1.385,4,5.538,3,4.154,2,2.769,-13.06,-0.634,41695
"64","Han Xu",2019,19,"NYL",0,18,0,143,24,6.042,58,14.601,19,4.783,48,12.084,5,1.259,10,2.517,1,0.252,2,0.503,2,0.503,15,3.776,13,3.273,2,0.503,3,0.755,4,1.007,2,0.503,6,1.51,54,13.594,-15.965,-1.692,42570
"65","Imani McGee-Stafford",2019,24,"DAL",0.4,29,6,346,51,5.306,109,11.341,50,5.202,105,10.925,1,0.104,4,0.416,9,0.936,14,1.457,44,4.578,111,11.549,67,6.971,18,1.873,17,1.769,18,1.873,34,3.538,58,6.035,112,11.653,2.245,0.273,53290
"66","Isabelle Harrison",2019,25,"DAL",1.6,31,29,794,110,4.987,241,10.927,110,4.987,235,10.655,0,0,6,0.272,48,2.176,67,3.038,72,3.264,181,8.207,109,4.942,42,1.904,35,1.587,25,1.134,48,2.176,80,3.627,268,12.151,1.348,0.223,53290
"67","Jackie Young",2019,21,"LVA",1.3,34,34,767,76,3.567,236,11.077,62,2.91,192,9.012,14,0.657,44,2.065,59,2.769,73,3.426,23,1.08,111,5.21,88,4.13,153,7.181,26,1.22,12,0.563,53,2.488,47,2.206,225,10.561,1.34,0.28,53537
"68","Jaime Nared",2019,23,"LVA",0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,36,0,0,-2.893,-0.009,5446
"69","Jamierra Faulkner",2019,27,"CHI",0,13,0,72,6,3,18,9,5,2.5,9,4.5,1,0.5,9,4.5,4,2,8,4,2,1,4,2,2,1,11,5.5,2,1,0,0,5,2.5,8,4,17,8.5,-0.569,-0.196,62000
"70","Jantel Lavender",2019,30,"CHI",1.3,23,22,619,103,5.99,210,12.213,97,5.641,183,10.643,6,0.349,27,1.57,19,1.105,21,1.221,46,2.675,158,9.189,112,6.514,26,1.512,7,0.407,13,0.756,32,1.861,34,1.977,231,13.435,-1.961,-0.194,115000
"71","Jasmine Thomas",2019,29,"CON",2,34,34,1009,139,4.959,355,12.666,94,3.354,232,8.278,45,1.606,123,4.389,56,1.998,70,2.498,19,0.678,97,3.461,78,2.783,175,6.244,48,1.713,5,0.178,93,3.318,62,2.212,379,13.522,-1.881,-0.25,117500
"72","Jessica Breland",2019,31,"ATL",1.5,33,33,767,104,4.881,275,12.907,95,4.459,237,11.124,9,0.422,38,1.784,29,1.361,33,1.549,42,1.971,240,11.265,198,9.293,55,2.581,42,1.971,35,1.643,38,1.784,65,3.051,246,11.546,9.909,1.819,115000
"73","Jessica Shepard",2019,22,"MIN",0.1,6,0,112,11,3.536,29,9.321,10,3.214,22,7.071,1,0.321,7,2.25,6,1.929,8,2.571,9,2.893,34,10.929,25,8.036,21,6.75,2,0.643,1,0.321,15,4.821,9,2.893,29,9.321,7.78,0.879,42570
"74","Jewell Loyd",2019,25,"SEA",1.3,27,21,686,117,6.14,299,15.691,83,4.356,198,10.391,34,1.784,101,5.3,64,3.359,69,3.621,11,0.577,74,3.883,63,3.306,54,2.834,35,1.837,3,0.157,52,2.729,33,1.732,332,17.423,0.532,-0.247,117500
"75","Ji-Su Park",2019,20,"LVA",-0.2,25,0,163,8,1.767,37,8.172,8,1.767,36,7.951,0,0,1,0.221,4,0.883,9,1.988,10,2.209,27,5.963,17,3.755,10,2.209,5,1.104,4,0.883,7,1.546,23,5.08,20,4.417,-3.3,-0.397,NA
"76","Jillian Alleyne",2019,24,"MIN",0,5,0,14,2,5.143,6,15.429,2,5.143,6,15.429,0,0,0,0,0,0,0,0,2,5.143,5,12.857,3,7.714,1,2.571,0,0,1,2.571,0,0,0,0,4,10.286,4.072,0.264,8169
"77","Jonquel Jones",2019,25,"CON",5.6,34,34,980,173,6.355,386,14.18,130,4.776,247,9.073,43,1.58,139,5.106,108,3.967,132,4.849,113,4.151,330,12.122,217,7.971,52,1.91,43,1.58,68,2.498,66,2.424,96,3.527,497,18.257,9.91,2.002,59718
"78","Jordin Canada",2019,23,"SEA",1.3,30,29,865,112,4.661,289,12.028,104,4.328,246,10.238,8,0.333,43,1.79,63,2.622,82,3.413,13,0.541,71,2.955,58,2.414,155,6.451,68,2.83,7,0.291,79,3.288,48,1.998,295,12.277,-3.193,-1.155,49611
"79","Kaela Davis",2019,24,"DAL",-1.8,33,16,634,76,4.315,231,13.117,60,3.407,180,10.221,16,0.909,51,2.896,29,1.647,33,1.874,16,0.909,73,4.145,57,3.237,69,3.918,18,1.022,6,0.341,73,4.145,79,4.486,197,11.186,-0.521,-0.044,47798
"80","Kahleah Copper",2019,24,"CHI",0,34,0,502,79,5.665,204,14.629,64,4.59,155,11.116,15,1.076,49,3.514,54,3.873,70,5.02,12,0.861,64,4.59,52,3.729,30,2.151,14,1.004,3,0.215,43,3.084,51,3.657,227,16.279,1.445,0.152,59718
"81","Kalani Brown",2019,22,"LAS",1.2,28,0,377,54,5.156,113,10.79,54,5.156,112,10.695,0,0,1,0.095,36,3.438,46,4.393,34,3.247,98,9.358,64,6.111,17,1.623,9,0.859,22,2.101,29,2.769,47,4.488,144,13.751,0.793,0.037,49539
"82","Kaleena Mosqueda-Lewis",2019,25,"SEA",-0.1,31,4,435,65,5.379,163,13.49,37,3.062,81,6.703,28,2.317,82,6.786,14,1.159,14,1.159,9,0.745,36,2.979,27,2.234,16,1.324,8,0.662,5,0.414,36,2.979,40,3.31,172,14.234,3.326,0.19,70000
"83","Karima Christmas-Kelly",2019,29,"MIN",0,6,0,72,5,2.5,18,9,2,1,7,3.5,3,1.5,11,5.5,3,1.5,5,2.5,1,0.5,5,2.5,4,2,6,3,5,2.5,1,0.5,4,2,8,4,16,8,-3.419,-0.191,102000
"84","Karlie Samuelson",2019,24,"TOT",0,7,0,84,3,1.286,14,6,0,0,2,0.857,3,1.286,12,5.143,0,0,0,0,1,0.429,4,1.714,3,1.286,5,2.143,3,1.286,1,0.429,0,0,8,3.429,9,3.857,5.163,0.405,41965
"85","Katie Lou Samuelson",2019,22,"CHI",0.3,20,0,153,12,2.824,38,8.941,4,0.941,9,2.118,8,1.882,29,6.824,16,3.765,20,4.706,4,0.941,17,4,13,3.059,7,1.647,6,1.412,2,0.471,5,1.176,15,3.529,48,11.294,8.273,1.106,53537
"86","Kayla Alexander",2019,28,"CHI",0.1,3,0,20,3,5.4,4,7.2,3,5.4,4,7.2,0,0,0,0,3,5.4,4,7.2,2,3.6,7,12.6,5,9,1,1.8,0,0,0,0,1,1.8,3,5.4,9,16.2,-11.139,-0.488,6069
"87","Kayla McBride",2019,27,"LVA",3.7,34,34,990,152,5.527,358,13.018,90,3.273,213,7.745,62,2.255,145,5.273,87,3.164,96,3.491,22,0.8,141,5.127,119,4.327,88,3.2,41,1.491,3,0.109,59,2.145,46,1.673,453,16.473,0.143,-0.036,115000
"88","Kayla Thornton",2019,26,"DAL",0.6,27,25,822,99,4.336,289,12.657,71,3.109,186,8.146,28,1.226,103,4.511,54,2.365,58,2.54,49,2.146,143,6.263,94,4.117,48,2.102,25,1.095,8,0.35,44,1.927,60,2.628,280,12.263,1.24,0.362,86000
"89","Kelsey Mitchell",2019,23,"IND",1.1,34,20,852,167,7.056,432,18.254,88,3.718,221,9.338,79,3.338,211,8.915,51,2.155,61,2.577,4,0.169,56,2.366,52,2.197,90,3.803,15,0.634,4,0.169,57,2.408,57,2.408,464,19.606,7.605,0.989,53616
"90","Kelsey Plum",2019,24,"LVA",1.2,34,30,868,107,4.438,293,12.152,62,2.571,168,6.968,45,1.866,125,5.184,34,1.41,39,1.618,15,0.622,97,4.023,82,3.401,102,4.23,27,1.12,4,0.166,53,2.198,76,3.152,293,12.152,-0.077,-0.047,57886
"91","Kenisha Bell",2019,23,"MIN",0,3,0,11,0,0,1,3.273,0,0,0,0,0,0,1,3.273,0,0,0,0,0,0,1,3.273,1,3.273,1,3.273,0,0,0,0,1,3.273,1,3.273,0,0,7.307,0.235,41695
"92","Kennedy Burke",2019,22,"IND",0.6,31,7,423,45,3.83,117,9.957,31,2.638,77,6.553,14,1.191,40,3.404,31,2.638,44,3.745,18,1.532,45,3.83,27,2.298,22,1.872,18,1.532,10,0.851,21,1.787,30,2.553,135,11.489,7.017,0.809,41965
"93","Kia Nurse",2019,23,"NYL",1.9,34,34,1001,142,5.107,361,12.983,77,2.769,177,6.366,65,2.338,184,6.617,116,4.172,133,4.783,19,0.683,85,3.057,66,2.374,78,2.805,25,0.899,4,0.144,56,2.014,60,2.158,465,16.723,9.413,1.888,44273
