"","Player","Season","Age","Tm","WS","G","GS","MP","MPG","FG","FGPG","FGA","FGAPG","X2P","X2PPG","X2PA","X2PAPG","X3P","X3PPG","X3PA","X3PAPG","FT","FTPG","FTA","FTAPG","DRB","DRBPG","ORB","ORBPG","TRB","TRBPG","AST","APG","STL","SPG","BLK","BPG","TOV","TPG","PF","PFPG","PTS","PPG","FG.","FT.","X2P.","X3P.","eFG.","APM","RAPM","Salary"
"47","Crystal Langhorne",2019,32,"SEA",0.6,34,4,577,16.971,70,2.059,171,5.029,52,1.529,114,3.353,18,0.529,57,1.676,33,0.971,44,1.294,79,2.324,27,0.794,106,3.118,33,0.971,10,0.294,9,0.265,43,1.265,35,1.029,191,5.618,0.409,0.75,0.456,0.316,0.462,-0.523,0.452,105000
"48","Damiris Dantas",2019,26,"MIN",2.2,26,26,667,25.654,89,3.423,206,7.923,47,1.808,99,3.808,42,1.615,107,4.115,19,0.731,26,1,88,3.385,28,1.077,116,4.462,84,3.231,19,0.731,15,0.577,45,1.731,74,2.846,239,9.192,0.432,0.731,0.475,0.393,0.534,-1.008,-0.08,105000
"49","Danielle Robinson",2019,30,"MIN",2.3,34,25,919,27.029,138,4.059,316,9.294,129,3.794,275,8.088,9,0.265,41,1.206,58,1.706,66,1.941,96,2.824,22,0.647,118,3.471,125,3.676,42,1.235,7,0.206,70,2.059,61,1.794,343,10.088,0.437,0.879,0.469,0.22,0.451,9.654,2.348,108000
"50","Dearica Hamby",2019,25,"LVA",3.6,34,9,842,24.765,141,4.147,289,8.5,124,3.647,236,6.941,17,0.5,53,1.559,74,2.176,103,3.029,181,5.324,76,2.235,257,7.559,65,1.912,33,0.971,12,0.353,61,1.794,71,2.088,373,10.971,0.488,0.718,0.525,0.321,0.517,-3.132,-0.832,115000
"51","DeWanna Bonner",2019,31,"PHO",4,34,34,1120,32.941,190,5.588,504,14.824,138,4.059,313,9.206,52,1.529,191,5.618,153,4.5,167,4.912,226,6.647,34,1,260,7.647,92,2.706,44,1.294,21,0.618,53,1.559,55,1.618,585,17.206,0.377,0.916,0.441,0.272,0.429,-3.534,-0.808,127500
"52","Diamond DeShields",2019,24,"CHI",2.4,34,34,1027,30.206,192,5.647,481,14.147,142,4.176,323,9.5,50,1.471,158,4.647,117,3.441,140,4.118,158,4.647,29,0.853,187,5.5,82,2.412,43,1.265,14,0.412,74,2.176,92,2.706,551,16.206,0.399,0.836,0.44,0.316,0.451,-5.501,-1.669,53616
"53","Diana Taurasi",2019,37,"PHO",-0.4,6,6,129,21.5,4,0.667,39,6.5,3,0.5,15,2.5,1,0.167,24,4,17,2.833,18,3,18,3,1,0.167,19,3.167,32,5.333,2,0.333,1,0.167,13,2.167,15,2.5,26,4.333,0.103,0.944,0.2,0.042,0.115,0.408,-0.008,117500
"54","Elena Delle Donne",2019,29,"WAS",7.7,31,31,901,29.065,220,7.097,427,13.774,168,5.419,306,9.871,52,1.677,121,3.903,114,3.677,117,3.774,207,6.677,48,1.548,255,8.226,68,2.194,19,0.613,39,1.258,30,0.968,32,1.032,606,19.548,0.515,0.974,0.549,0.43,0.576,8.373,1.837,117000
"55","Elizabeth Williams",2019,26,"ATL",2.7,32,32,909,28.406,107,3.344,235,7.344,107,3.344,235,7.344,0,0,0,0,82,2.562,112,3.5,109,3.406,99,3.094,208,6.5,37,1.156,24,0.75,53,1.656,41,1.281,71,2.219,296,9.25,0.455,0.732,0.455,NA,0.455,-1.763,-0.845,115000
"56","Emma Meesseman",2019,26,"WAS",4,23,6,543,23.609,122,5.304,221,9.609,103,4.478,176,7.652,19,0.826,45,1.957,38,1.652,42,1.826,70,3.043,27,1.174,97,4.217,73,3.174,20,0.87,15,0.652,22,0.957,41,1.783,301,13.087,0.552,0.905,0.585,0.422,0.595,7.857,1.831,117500
"57","Epiphanny Prince",2019,31,"LVA",0.2,3,0,28,9.333,5,1.667,10,3.333,2,0.667,3,1,3,1,7,2.333,0,0,0,0,1,0.333,1,0.333,2,0.667,3,1,1,0.333,1,0.333,0,0,5,1.667,13,4.333,0.5,NA,0.667,0.429,0.65,-0.261,-0.031,NA
"58","Erica McCall",2019,23,"IND",0,15,0,104,6.933,3,0.2,22,1.467,3,0.2,22,1.467,0,0,0,0,8,0.533,8,0.533,16,1.067,11,0.733,27,1.8,6,0.4,1,0.067,6,0.4,3,0.2,13,0.867,14,0.933,0.136,1,0.136,NA,0.136,1.395,0.663,46028
"59","Erica Wheeler",2019,28,"IND",1.4,34,34,850,25,127,3.735,298,8.765,79,2.324,173,5.088,48,1.412,125,3.676,41,1.206,47,1.382,97,2.853,5,0.147,102,3,171,5.029,40,1.176,5,0.147,97,2.853,74,2.176,343,10.088,0.426,0.872,0.457,0.384,0.507,4.136,-0.058,80000
"60","Essence Carson",2019,32,"PHO",0.4,23,13,425,18.478,45,1.957,128,5.565,31,1.348,87,3.783,14,0.609,41,1.783,29,1.261,37,1.609,40,1.739,11,0.478,51,2.217,35,1.522,12,0.522,8,0.348,17,0.739,23,1,133,5.783,0.352,0.784,0.356,0.341,0.406,-1.139,-0.125,85000
"61","Gabby Williams",2019,22,"CHI",0,33,2,527,15.97,75,2.273,181,5.485,68,2.061,140,4.242,7,0.212,41,1.242,29,0.879,40,1.212,58,1.758,14,0.424,72,2.182,68,2.061,23,0.697,7,0.212,55,1.667,41,1.242,186,5.636,0.414,0.725,0.486,0.171,0.434,4.997,0.865,53616
"62","Glory Johnson",2019,28,"DAL",1.2,28,19,676,24.143,78,2.786,214,7.643,43,1.536,111,3.964,35,1.25,103,3.679,14,0.5,24,0.857,117,4.179,27,0.964,144,5.143,39,1.393,39,1.393,18,0.643,28,1,45,1.607,205,7.321,0.364,0.583,0.387,0.34,0.446,-1.149,-0.404,117500
"63","Haley Peters",2019,26,"ATL",-0.2,4,0,26,6.5,0,0,7,1.75,0,0,7,1.75,0,0,0,0,2,0.5,2,0.5,1,0.25,1,0.25,2,0.5,1,0.25,1,0.25,1,0.25,4,1,3,0.75,2,0.5,0,1,0,NA,0,-13.06,-0.634,NA
"64","Han Xu",2019,19,"NYL",0,18,0,143,7.944,24,1.333,58,3.222,19,1.056,48,2.667,5,0.278,10,0.556,1,0.056,2,0.111,13,0.722,2,0.111,15,0.833,2,0.111,3,0.167,4,0.222,2,0.111,6,0.333,54,3,0.414,0.5,0.396,0.5,0.457,-15.965,-1.692,42570
"65","Imani McGee-Stafford",2019,24,"DAL",0.4,29,6,346,11.931,51,1.759,109,3.759,50,1.724,105,3.621,1,0.034,4,0.138,9,0.31,14,0.483,67,2.31,44,1.517,111,3.828,18,0.621,17,0.586,18,0.621,34,1.172,58,2,112,3.862,0.468,0.643,0.476,0.25,0.472,2.245,0.273,53290
"66","Isabelle Harrison",2019,25,"DAL",1.6,31,29,794,25.613,110,3.548,241,7.774,110,3.548,235,7.581,0,0,6,0.194,48,1.548,67,2.161,109,3.516,72,2.323,181,5.839,42,1.355,35,1.129,25,0.806,48,1.548,80,2.581,268,8.645,0.456,0.716,0.468,0,0.456,1.348,0.223,53290
"67","Jackie Young",2019,21,"LVA",1.3,34,34,767,22.559,76,2.235,236,6.941,62,1.824,192,5.647,14,0.412,44,1.294,59,1.735,73,2.147,88,2.588,23,0.676,111,3.265,153,4.5,26,0.765,12,0.353,53,1.559,47,1.382,225,6.618,0.322,0.808,0.323,0.318,0.352,1.34,0.28,53537
"68","Jaime Nared",2019,23,"LVA",0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,NA,NA,NA,NA,NA,-2.893,-0.009,5446
"69","Jamierra Faulkner",2019,27,"CHI",0,13,0,72,5.538,6,0.462,18,1.385,5,0.385,9,0.692,1,0.077,9,0.692,4,0.308,8,0.615,2,0.154,2,0.154,4,0.308,11,0.846,2,0.154,0,0,5,0.385,8,0.615,17,1.308,0.333,0.5,0.556,0.111,0.361,-0.569,-0.196,62000
"70","Jantel Lavender",2019,30,"CHI",1.3,23,22,619,26.913,103,4.478,210,9.13,97,4.217,183,7.957,6,0.261,27,1.174,19,0.826,21,0.913,112,4.87,46,2,158,6.87,26,1.13,7,0.304,13,0.565,32,1.391,34,1.478,231,10.043,0.49,0.905,0.53,0.222,0.505,-1.961,-0.194,115000
"71","Jasmine Thomas",2019,29,"CON",2,34,34,1009,29.676,139,4.088,355,10.441,94,2.765,232,6.824,45,1.324,123,3.618,56,1.647,70,2.059,78,2.294,19,0.559,97,2.853,175,5.147,48,1.412,5,0.147,93,2.735,62,1.824,379,11.147,0.392,0.8,0.405,0.366,0.455,-1.881,-0.25,117500
"72","Jessica Breland",2019,31,"ATL",1.5,33,33,767,23.242,104,3.152,275,8.333,95,2.879,237,7.182,9,0.273,38,1.152,29,0.879,33,1,198,6,42,1.273,240,7.273,55,1.667,42,1.273,35,1.061,38,1.152,65,1.97,246,7.455,0.378,0.879,0.401,0.237,0.395,9.909,1.819,115000
